location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Connecticut,1,0.0294634940038727,0.1937810672575328,0.7154886397640858,1.0643168651404546,7,25.845767851471617,0.03,0.19,0.72,1,7,30,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Connecticut,2,0.02768300960821897,0.2214640768657518,0.8645403900646785,1,8,31.23,0.03,0.22,0.86,1,8,30,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Connecticut,0,NA,NA,NA,4.043549832856765e-4,9.03973815069004e-4,0.001787273736446,NA,NA,NA,4e-4,9e-4,0.0018,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Connecticut,1,NA,NA,NA,4.060310217777732e-4,9.749914418195444e-4,0.00209732633036024,NA,NA,NA,4.1e-4,9.7e-4,0.0021,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Connecticut,2,NA,NA,NA,4.465567816949868e-4,0.00110095732655799,0.00259516862602324,NA,NA,NA,4.5e-4,0.0011,0.0026,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Delaware,0,0.00422193053879297,0.20367296658817743,0.8506084805184397,0.0434201068717733,2.094658331038784,8.748014869213453,0,0.2,0.85,0,2,9,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Delaware,1,0.00359446159200836,0.28581528607781914,0.9885574754399288,0.03696695268608267,2.9394444444444447,10.166740271563912,0,0.29,0.99,0,3,10,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Delaware,2,0.00916248709284021,0.30250720129196507,1.380826164924841,0.0942308655073478,3.111111111111111,14.200996227076333,0.01,0.3,1.38,0,3,10,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Delaware,0,NA,NA,NA,1.6613493137016745e-4,5.050504505913538e-4,0.00114253891041789,NA,NA,NA,1.7e-4,5.1e-4,0.0011,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Delaware,1,NA,NA,NA,1.3306094928149234e-4,5.085492554511574e-4,0.00161474888418087,NA,NA,NA,1.3e-4,5.1e-4,0.0016,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
