location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
Texas,TX,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,OHT_JHU-nbxd,156.7,202.24,251.95,318.79,399.8,486.68,601.69,160,200,250,320,400,490,600,0.5156112408383582,0.6654576729237369,0.829025220990583,1.0489579289525222,1.3155161077675535,1.6013891428922282,1.9798221282707835,0.52,0.67,0.83,1.05,1.32,1.6,1.98,One Health Trust and Johns Hopkins University,2025-07-02,NBEATS exogenous covariate decoder
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,OHT_JHU-nbxd,158.14,213.8,276.77,364.25,473.67,594.25,757.96,160,210,280,360,470,590,760,0.5203494679398721,0.703495107155335,0.9106938297819552,1.1985411261989278,1.5585805772042447,1.9553412882462948,2.494018481849662,0.52,0.7,0.91,1.2,1.56,1.96,2.49,One Health Trust and Johns Hopkins University,2025-07-02,NBEATS exogenous covariate decoder
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,OHT_JHU-nbxd,153.44,216.9,291.18,397.62,534.71,689.61,904.82,150,220,290,400,530,690,900,0.5048844211502086,0.7136954571655386,0.9581090051519664,1.3083429584055393,1.7594287593406417,2.2691172163021074,2.9772518374943417,0.5,0.71,0.96,1.31,1.76,2.27,2.98,One Health Trust and Johns Hopkins University,2025-07-02,NBEATS exogenous covariate decoder
Texas,TX,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,UMass-ar6_pooled,118.48227579539684,168.35936053817767,221.30789077741633,286.8369771525171,361.12935197629815,431.42238951135204,531.256557891939,120,170,220,290,360,430,530,0.38985828487694413,0.5539756145107997,0.7281993374030855,0.9438185686530514,1.1882728351987957,1.4195675404045802,1.7480654308754162,0.39,0.55,0.73,0.94,1.19,1.42,1.75,UMass-Amherst,2025-07-02,AR(6) model with pooling
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,UMass-ar6_pooled,73.00475150089379,140.83709163774623,209.20505593260813,299.00611311480054,413.8720129752099,533.8802653517138,684.2188559771314,70,140,210,300,410,530,680,0.24021742507001811,0.4634153642335922,0.6883757401344621,0.9838603254714537,1.3618191586369948,1.7566985710089922,2.2513780046928566,0.24,0.46,0.69,0.98,1.36,1.76,2.25,UMass-Amherst,2025-07-02,AR(6) model with pooling
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,UMass-ar6_pooled,43.961575885641984,124.05138234830191,206.72861112541284,324.36248577422845,468.7475108633359,628.593351662184,827.3361184906238,40,120,210,320,470,630,830,0.14465272936570203,0.408183070710412,0.6802271582588675,1.0672938338957514,1.5423834442637934,2.068345871303645,2.7222961240927983,0.14,0.41,0.68,1.07,1.54,2.07,2.72,UMass-Amherst,2025-07-02,AR(6) model with pooling
Texas,TX,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,UMass-gbqr,166.01881833806675,231.48182550530504,254.10216441868755,270.457597460396,319.65234049417546,337.52593485506975,412.69394488376247,170,230,250,270,320,340,410,0.5462742113963533,0.761676013275805,0.8361067791680408,0.889923276456388,1.0517954047165743,1.1106073138848078,1.3579428015826023,0.55,0.76,0.84,0.89,1.05,1.11,1.36,UMass-Amherst,2025-07-02,gradient boosting quantile regression
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,UMass-gbqr,124.17100151421351,230.84056867127396,254.10216441868755,265.5550484253967,327.308017779227,352.8593353818933,481.47811884290127,120,230,250,270,330,350,480,0.40857666985887225,0.7595659990327237,0.8361067791680408,0.8737917551340721,1.0769859169335714,1.1610608791171435,1.584272688532909,0.41,0.76,0.84,0.87,1.08,1.16,1.58,UMass-Amherst,2025-07-02,gradient boosting quantile regression
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,UMass-gbqr,112.72835207276324,211.95232604578237,254.10216441868755,268.49103029821754,339.58092405922747,384.6175732252094,532.2526636350335,110,210,250,270,340,380,530,0.37092537006956455,0.6974154552076715,0.8361067791680408,0.8834524140780674,1.117369123287904,1.265559311926537,1.7513430525614608,0.37,0.7,0.84,0.88,1.12,1.27,1.75,UMass-Amherst,2025-07-02,gradient boosting quantile regression
Utah,UT,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,CEPH-Rtrend_covid,17,20,23,26,30,34,39,20,20,20,30,30,30,40,0.4980527601937484,0.585944423757351,0.6738360873209537,0.7617277508845564,0.8789166356360265,0.9961055203874968,1.1425916263268345,0.5,0.59,0.67,0.76,0.88,1,1.14,CEPH Lab at Indiana University,2025-07-02,Rtrend COVID
