week_ending_date,location,location_name,target,target_data_type,count_value,rate_value
2024-12-07,56,Wyoming,wk inc rsv hosp,hosp,5,0.86
2024-12-14,02,Alaska,wk inc rsv hosp,hosp,18,2.53
2024-12-14,01,Alabama,wk inc rsv hosp,hosp,155,3.04
2024-12-14,05,Arkansas,wk inc rsv hosp,hosp,54,1.76
2024-12-14,04,Arizona,wk inc rsv hosp,hosp,58,0.78
2024-12-14,06,California,wk inc rsv hosp,hosp,485,1.25
2024-12-14,08,Colorado,wk inc rsv hosp,hosp,68,1.16
2024-12-14,09,Connecticut,wk inc rsv hosp,hosp,100,2.77
2024-12-14,11,District of Columbia,wk inc rsv hosp,hosp,14,2.07
2024-12-14,10,Delaware,wk inc rsv hosp,hosp,79,7.68
2024-12-14,12,Florida,wk inc rsv hosp,hosp,629,2.79
2024-12-14,13,Georgia,wk inc rsv hosp,hosp,409,3.73
2024-12-14,15,Hawaii,wk inc rsv hosp,hosp,30,2.15
2024-12-14,19,Iowa,wk inc rsv hosp,hosp,24,0.75
2024-12-14,16,Idaho,wk inc rsv hosp,hosp,10,0.51
2024-12-14,17,Illinois,wk inc rsv hosp,hosp,379,3.02
2024-12-14,18,Indiana,wk inc rsv hosp,hosp,142,2.07
2024-12-14,20,Kansas,wk inc rsv hosp,hosp,20,0.68
2024-12-14,21,Kentucky,wk inc rsv hosp,hosp,132,2.93
2024-12-14,22,Louisiana,wk inc rsv hosp,hosp,165,3.62
2024-12-14,25,Massachusetts,wk inc rsv hosp,hosp,271,3.87
2024-12-14,24,Maryland,wk inc rsv hosp,hosp,179,2.91
2024-12-14,23,Maine,wk inc rsv hosp,hosp,3,0.22
2024-12-14,26,Michigan,wk inc rsv hosp,hosp,185,1.84
2024-12-14,27,Minnesota,wk inc rsv hosp,hosp,60,1.05
2024-12-14,29,Missouri,wk inc rsv hosp,hosp,63,1.02
2024-12-14,28,Mississippi,wk inc rsv hosp,hosp,103,3.52
2024-12-14,30,Montana,wk inc rsv hosp,hosp,2,0.18
2024-12-14,37,North Carolina,wk inc rsv hosp,hosp,284,2.65
2024-12-14,38,North Dakota,wk inc rsv hosp,hosp,0,0
2024-12-14,31,Nebraska,wk inc rsv hosp,hosp,9,0.46
2024-12-14,33,New Hampshire,wk inc rsv hosp,hosp,28,2
2024-12-14,34,New Jersey,wk inc rsv hosp,hosp,406,4.37
2024-12-14,35,New Mexico,wk inc rsv hosp,hosp,12,0.57
2024-12-14,32,Nevada,wk inc rsv hosp,hosp,45,1.41
2024-12-14,36,New York,wk inc rsv hosp,hosp,874,4.47
2024-12-14,39,Ohio,wk inc rsv hosp,hosp,371,3.15
2024-12-14,40,Oklahoma,wk inc rsv hosp,hosp,40,0.99
2024-12-14,41,Oregon,wk inc rsv hosp,hosp,32,0.76
2024-12-14,42,Pennsylvania,wk inc rsv hosp,hosp,530,4.09
2024-12-14,72,Puerto Rico,wk inc rsv hosp,hosp,500,15.22
2024-12-14,44,Rhode Island,wk inc rsv hosp,hosp,47,4.3
2024-12-14,45,South Carolina,wk inc rsv hosp,hosp,184,3.45
2024-12-14,46,South Dakota,wk inc rsv hosp,hosp,3,0.33
2024-12-14,47,Tennessee,wk inc rsv hosp,hosp,203,2.86
2024-12-14,48,Texas,wk inc rsv hosp,hosp,905,2.98
2024-12-14,US,United States,wk inc rsv hosp,hosp,8663,2.57
2024-12-14,49,Utah,wk inc rsv hosp,hosp,21,0.62
2024-12-14,51,Virginia,wk inc rsv hosp,hosp,94,1.09
2024-12-14,50,Vermont,wk inc rsv hosp,hosp,8,1.24
2024-12-14,53,Washington,wk inc rsv hosp,hosp,125,1.61
2024-12-14,55,Wisconsin,wk inc rsv hosp,hosp,60,1.02
2024-12-14,54,West Virginia,wk inc rsv hosp,hosp,39,2.2
2024-12-14,56,Wyoming,wk inc rsv hosp,hosp,6,1.03
2024-12-21,02,Alaska,wk inc rsv hosp,hosp,20,2.81
2024-12-21,01,Alabama,wk inc rsv hosp,hosp,171,3.35
2024-12-21,05,Arkansas,wk inc rsv hosp,hosp,73,2.38
2024-12-21,04,Arizona,wk inc rsv hosp,hosp,139,1.87
2024-12-21,06,California,wk inc rsv hosp,hosp,612,1.58
2024-12-21,08,Colorado,wk inc rsv hosp,hosp,111,1.9
2024-12-21,09,Connecticut,wk inc rsv hosp,hosp,107,2.96
2024-12-21,11,District of Columbia,wk inc rsv hosp,hosp,9,1.33
2024-12-21,10,Delaware,wk inc rsv hosp,hosp,112,10.89
2024-12-21,12,Florida,wk inc rsv hosp,hosp,606,2.69
